x,y
333.0,5.287308162553179e-14
336.2242242242242,5.3411027998181664e-14
339.44844844844846,5.394897437083154e-14
342.67267267267266,5.4486920743481406e-14
345.8968968968969,5.502486711613129e-14
349.1211211211211,5.556281348878115e-14
352.3453453453453,5.610075986143102e-14
355.5695695695696,5.6638706234080904e-14
358.7937937937938,5.717665260673076e-14
362.01801801801804,5.771459897938064e-14
365.24224224224224,5.82525453520305e-14
368.46646646646644,5.879049172468037e-14
371.6906906906907,5.932843809733025e-14
374.9149149149149,5.986638446998011e-14
378.13913913913916,6.040433084263e-14
381.36336336336336,6.094227721527987e-14
384.58758758758756,6.148022358792973e-14
387.8118118118118,6.201816996057961e-14
391.036036036036,6.255611633322948e-14
394.2602602602603,6.309406270587935e-14
397.4844844844845,6.363200907852922e-14
400.7087087087087,6.41699554511791e-14
403.93293293293294,6.470790182382897e-14
407.15715715715714,6.524584819647884e-14
410.3813813813814,6.578379456912871e-14
413.6056056056056,6.632174094177858e-14
416.8298298298298,6.685968731442845e-14
420.05405405405406,6.739763368707832e-14
423.27827827827826,6.793558005972819e-14
426.50250250250247,6.847352643237806e-14
429.7267267267267,6.901147280502794e-14
432.9509509509509,6.95494191776778e-14
436.1751751751752,7.008736555032768e-14
439.3993993993994,7.062531192297755e-14
442.62362362362364,7.116325829562743e-14
445.84784784784785,7.170120466827729e-14
449.07207207207205,7.223915104092716e-14
452.2962962962963,7.277709741357705e-14
455.5205205205205,7.33150437862269e-14
458.7447447447447,7.385299015887678e-14
461.96896896896897,7.439093653152666e-14
465.1931931931932,7.492888290417653e-14
468.41741741741737,7.546682927682639e-14
471.6416416416416,7.600477564947627e-14
474.8658658658659,7.654272202212614e-14
478.0900900900901,7.708066839477602e-14
481.3143143143143,7.761861476742589e-14
484.53853853853855,7.815656114007576e-14
487.76276276276275,7.869450751272563e-14
490.98698698698695,7.92324538853755e-14
494.2112112112112,7.977040025802537e-14
497.43543543543547,8.030834663067526e-14
500.6596596596596,8.084629300332511e-14
503.88388388388387,8.138423937597499e-14
507.1081081081081,8.192218574862486e-14
510.3323323323323,8.246013212127473e-14
513.5565565565565,8.29980784939246e-14
516.7807807807808,8.353602486657447e-14
520.0050050050049,8.407397123922433e-14
523.2292292292292,8.461191761187421e-14
526.4534534534534,8.514986398452408e-14
529.6776776776777,8.568781035717397e-14
532.9019019019019,8.622575672982383e-14
536.1261261261261,8.67637031024737e-14
539.3503503503504,8.730164947512358e-14
542.5745745745746,8.783959584777345e-14
545.7987987987988,8.837754222042331e-14
549.023023023023,8.89154885930732e-14
552.2472472472473,8.945343496572307e-14
555.4714714714714,8.999138133837292e-14
558.6956956956957,9.052932771102281e-14
561.91991991992,9.106727408367268e-14
565.1441441441441,9.160522045632254e-14
568.3683683683684,9.214316682897242e-14
571.5925925925926,9.268111320162229e-14
574.8168168168168,9.321905957427215e-14
578.041041041041,9.375700594692204e-14
581.2652652652653,9.429495231957191e-14
584.4894894894894,9.483289869222177e-14
587.7137137137137,9.537084506487165e-14
590.9379379379379,9.590879143752152e-14
594.1621621621621,9.644673781017138e-14
597.3863863863864,9.698468418282128e-14
600.6106106106106,9.752263055547113e-14
603.8348348348347,9.806057692812099e-14
607.0590590590591,9.859852330077089e-14
610.2832832832833,9.913646967342075e-14
613.5075075075075,9.967441604607063e-14
616.7317317317318,1.002123624187205e-13
619.9559559559559,1.0075030879137036e-13
623.1801801801802,1.0128825516402025e-13
626.4044044044044,1.0182620153667012e-13
629.6286286286286,1.0236414790931997e-13
632.8528528528528,1.0290209428196986e-13
636.0770770770771,1.0344004065461973e-13
639.3013013013012,1.0397798702726959e-13
642.5255255255255,1.0451593339991947e-13
645.7497497497498,1.0505387977256934e-13
648.9739739739739,1.055918261452192e-13
652.1981981981982,1.0612977251786907e-13
655.4224224224224,1.0666771889051896e-13
658.6466466466466,1.0720566526316882e-13
661.8708708708709,1.0774361163581871e-13
665.0950950950951,1.0828155800846857e-13
668.3193193193192,1.0881950438111843e-13
671.5435435435436,1.0935745075376833e-13
674.7677677677677,1.0989539712641818e-13
677.991991991992,1.1043334349906806e-13
681.2162162162163,1.1097128987171794e-13
684.4404404404404,1.115092362443678e-13
687.6646646646647,1.1204718261701768e-13
690.8888888888889,1.1258512898966754e-13
694.1131131131131,1.131230753623174e-13
697.3373373373373,1.1366102173496728e-13
700.5615615615616,1.1419896810761718e-13
703.7857857857857,1.1473691448026704e-13
707.01001001001,1.1527486085291692e-13
710.2342342342342,1.1581280722556678e-13
713.4584584584584,1.1635075359821664e-13
716.6826826826826,1.1688869997086652e-13
719.9069069069069,1.174266463435164e-13
723.131131131131,1.1796459271616627e-13
726.3553553553554,1.1850253908881615e-13
729.5795795795796,1.19040485461466e-13
732.8038038038037,1.1957843183411587e-13
736.0280280280281,1.2011637820676578e-13
739.2522522522522,1.2065432457941563e-13
742.4764764764765,1.2119227095206552e-13
745.7007007007007,1.2173021732471538e-13
748.9249249249249,1.2226816369736523e-13
752.1491491491491,1.2280611007001512e-13
755.3733733733734,1.23344056442665e-13
758.5975975975975,1.2388200281531486e-13
761.8218218218218,1.2441994918796474e-13
765.0460460460461,1.249578955606146e-13
768.2702702702702,1.2549584193326446e-13
771.4944944944945,1.2603378830591435e-13
774.7187187187187,1.2657173467856423e-13
777.9429429429429,1.271096810512141e-13
781.1671671671671,1.2764762742386397e-13
784.3913913913914,1.2818557379651383e-13
787.6156156156155,1.287235201691637e-13
790.8398398398399,1.292614665418136e-13
794.064064064064,1.2979941291446346e-13
797.2882882882882,1.3033735928711332e-13
800.5125125125126,1.308753056597632e-13
803.7367367367367,1.3141325203241306e-13
806.960960960961,1.3195119840506294e-13
810.1851851851852,1.3248914477771283e-13
813.4094094094094,1.3302709115036268e-13
816.6336336336336,1.3356503752301254e-13
819.8578578578579,1.3410298389566243e-13
823.082082082082,1.3464093026831229e-13
826.3063063063063,1.3517887664096217e-13
829.5305305305305,1.3571682301361205e-13
832.7547547547547,1.362547693862619e-13
835.978978978979,1.3679271575891177e-13
839.2032032032032,1.3733066213156165e-13
842.4274274274273,1.378686085042115e-13
845.6516516516516,1.384065548768614e-13
848.8758758758759,1.3894450124951128e-13
852.1001001001001,1.3948244762216114e-13
855.3243243243243,1.40020393994811e-13
858.5485485485485,1.4055834036746088e-13
861.7727727727728,1.4109628674011076e-13
864.9969969969969,1.4163423311276062e-13
868.2212212212212,1.421721794854105e-13
871.4454454454454,1.4271012585806037e-13
874.6696696696696,1.4324807223071022e-13
877.8938938938938,1.437860186033601e-13
881.1181181181181,1.4432396497601e-13
884.3423423423424,1.4486191134865988e-13
887.5665665665665,1.4539985772130973e-13
890.7907907907908,1.459378040939596e-13
894.015015015015,1.4647575046660948e-13
897.2392392392392,1.4701369683925934e-13
900.4634634634634,1.4755164321190922e-13
903.6876876876877,1.480895895845591e-13
906.9119119119118,1.4862753595720896e-13
910.1361361361361,1.4916548232985882e-13
913.3603603603603,1.497034287025087e-13
916.5845845845846,1.502413750751586e-13
919.8088088088087,1.5077932144780845e-13
923.033033033033,1.5131726782045833e-13
926.2572572572573,1.518552141931082e-13
929.4814814814814,1.5239316056575805e-13
932.7057057057057,1.5293110693840793e-13
935.9299299299299,1.5346905331105781e-13
939.1541541541541,1.5400699968370767e-13
942.3783783783783,1.5454494605635753e-13
945.6026026026026,1.5508289242900742e-13
948.8268268268268,1.556208388016573e-13
952.051051051051,1.5615878517430716e-13
955.2752752752752,1.5669673154695704e-13
958.4994994994995,1.572346779196069e-13
961.7237237237237,1.5777262429225676e-13
964.9479479479479,1.5831057066490664e-13
